,date,team,home,home_next,date_next,team_opp,team_opp_next
0,2024-01-24,DET,1,1.0,2024-01-27,CHA,WAS
1,2024-01-24,WAS,1,1.0,2024-01-25,MIN,UTA
2,2024-01-24,MIA,1,1.0,2024-01-25,MEM,BOS
3,2024-01-24,HOU,1,0.0,2024-01-26,POR,CHA
4,2024-01-24,MIL,1,1.0,2024-01-26,CLE,CLE
5,2024-01-24,DAL,1,0.0,2024-01-26,PHX,ATL
6,2024-01-24,SAS,1,1.0,2024-01-26,OKC,POR
7,2024-01-24,GSW,1,1.0,2024-01-25,ATL,SAC
583,2024-01-24,MIN,0,0.0,2024-01-25,WAS,BKN
584,2024-01-24,MEM,0,1.0,2024-01-26,MIA,ORL
582,2024-01-24,CHA,0,1.0,2024-01-26,DET,HOU
585,2024-01-24,POR,0,0.0,2024-01-26,HOU,SAS
586,2024-01-24,CLE,0,0.0,2024-01-26,MIL,MIL
589,2024-01-24,ATL,0,1.0,2024-01-26,GSW,DAL
588,2024-01-24,OKC,0,0.0,2024-01-26,SAS,NOP
587,2024-01-24,PHX,0,0.0,2024-01-26,DAL,IND
592,2024-01-25,MIN,0,0.0,2024-01-27,BKN,SAS
591,2024-01-25,UTA,0,0.0,2024-01-27,WAS,CHA
593,2024-01-25,BOS,0,1.0,2024-01-27,MIA,LAC
594,2024-01-25,DEN,0,1.0,2024-01-27,NYK,PHI
590,2024-01-25,PHI,0,0.0,2024-01-27,IND,DEN
596,2024-01-25,CHI,0,0.0,2024-01-28,LAL,POR
595,2024-01-25,SAC,0,0.0,2024-01-27,GSW,DAL
9,2024-01-25,WAS,1,0.0,2024-01-27,UTA,DET
14,2024-01-25,LAL,1,0.0,2024-01-27,CHI,GSW
13,2024-01-25,GSW,1,1.0,2024-01-27,SAC,LAL
12,2024-01-25,NYK,1,1.0,2024-01-27,DEN,MIA
11,2024-01-25,MIA,1,0.0,2024-01-27,BOS,NYK
10,2024-01-25,BKN,1,1.0,2024-01-27,MIN,HOU
8,2024-01-25,IND,1,1.0,2024-01-26,PHI,PHX
19,2024-01-26,MEM,1,0.0,2024-01-28,ORL,IND
18,2024-01-26,TOR,1,0.0,2024-01-28,LAC,ATL
17,2024-01-26,IND,1,1.0,2024-01-28,PHX,MEM
16,2024-01-26,CHA,1,1.0,2024-01-27,HOU,UTA
15,2024-01-26,ATL,1,1.0,2024-01-28,DAL,TOR
22,2024-01-26,SAS,1,1.0,2024-01-27,POR,MIN
20,2024-01-26,MIL,1,1.0,2024-01-27,CLE,NOP
21,2024-01-26,NOP,1,0.0,2024-01-27,OKC,MIL
604,2024-01-26,POR,0,1.0,2024-01-28,SAS,CHI
597,2024-01-26,DAL,0,1.0,2024-01-27,ATL,SAC
598,2024-01-26,HOU,0,0.0,2024-01-27,CHA,BKN
599,2024-01-26,PHX,0,0.0,2024-01-28,IND,ORL
600,2024-01-26,LAC,0,0.0,2024-01-27,TOR,BOS
