,date,team,home,home_next,date_next,team_opp,team_opp_next
145,2024-02-12,TOR,1,1.0,2024-02-14,SAS,IND
144,2024-02-12,ATL,1,0.0,2024-02-14,CHI,CHA
143,2024-02-12,CLE,1,1.0,2024-02-14,PHI,CHI
142,2024-02-12,CHA,1,1.0,2024-02-14,IND,ATL
736,2024-02-13,MIA,0,0.0,2024-02-14,MIL,PHI
735,2024-02-13,OKC,0,1.0,2024-02-22,ORL,LAC
734,2024-02-13,BOS,0,1.0,2024-02-14,BKN,BKN
737,2024-02-13,SAC,0,0.0,2024-02-14,PHX,DEN
153,2024-02-13,ORL,1,1.0,2024-02-14,OKC,NYK
739,2024-02-13,DET,0,0.0,2024-02-14,LAL,PHX
157,2024-02-13,LAL,1,0.0,2024-02-14,DET,UTA
156,2024-02-13,POR,1,1.0,2024-02-15,MIN,MIN
155,2024-02-13,PHX,1,1.0,2024-02-14,SAC,DET
154,2024-02-13,MIL,1,0.0,2024-02-15,MIA,MEM
738,2024-02-13,MIN,0,0.0,2024-02-15,POR,POR
152,2024-02-13,BKN,1,0.0,2024-02-14,BOS,BOS
751,2024-02-14,LAL,0,0.0,2024-02-22,UTA,GSW
752,2024-02-14,LAC,0,0.0,2024-02-22,GSW,OKC
748,2024-02-14,SAS,0,0.0,2024-02-22,DAL,SAC
750,2024-02-14,DET,0,0.0,2024-02-22,PHX,IND
